Date,Rachel / Papineau,Berri1,Maisonneuve_1,Maisonneuve_2,Brébeuf,Parc,PierDup,CSC (Côte Sainte-Catherine),Pont_Jacques_Cartier,Totem_Laurier,Notre-Dame,Rachel / Hôtel de Ville,Saint-Antoine,René-Lévesque,Viger,Boyer,Maisonneuve_3,University
2013-07-16,5922,5283,3349,6753,,3373,2333,2315,,4046,,,0,,,,,
2013-07-17,4790,4296,2745,5499,,2767,1588,1910,,2967,,,0,,,,,
2013-07-18,4853,5021,3163,6131,,3031,1773,2063,,3382,,,0,,,,,
2013-07-19,2956,2758,1761,3540,,1806,717,1051,,2245,,,0,,,,,
2013-07-20,4518,3598,2391,3866,,1541,2042,1141,,2538,,,0,,,,,
2013-07-21,5603,4978,2285,4253,,2174,4841,1583,,2867,,,0,,,,,
2013-07-22,6234,5562,3341,6564,,3333,3380,2541,,3463,,,0,,,,,
2013-07-23,4166,3630,2377,4222,,2146,1619,1552,,2465,,,0,,,,,
2013-07-24,5338,4888,3292,6381,,3237,2403,2374,,3278,,,0,,,,,
2013-07-25,6208,5913,3558,7118,,3524,3003,2527,,3671,,,0,,,,,
2013-07-26,5930,5434,3225,6323,,2899,2784,2040,,3469,,,0,,,,,
2013-07-27,5506,4678,2401,4458,,1890,4476,1486,,3015,,,0,,,,,
2013-07-28,3297,2719,1416,2904,,1319,1630,986,,1979,,,0,,,,,
2013-07-29,5073,4342,2512,5639,,2888,2250,2179,,3203,,,0,,,,,
2013-07-30,6343,5934,3288,6862,,3368,3321,2595,,3627,,,0,,,,,
2013-07-31,6327,6128,3236,6951,,3487,4373,2712,,3989,,,0,,,,,
2013-08-01,4152,3716,2172,4769,,2421,1089,1651,,2651,,,0,,,,,
2013-08-02,5073,4562,2726,5463,,2569,2657,1788,,3168,,,0,,,,,
2013-08-03,4181,3783,2095,3712,,1584,2775,1184,,2516,,,0,,,,,
2013-08-04,3447,2671,1310,2857,,1266,2018,975,,1886,,,0,,,,,
2013-08-05,5988,4980,3173,6407,,3255,2795,2402,,3356,,,0,,,,,
2013-08-06,6434,6023,3543,7124,,3381,3430,2516,,3790,,,0,,,,,
2013-08-07,5408,5255,3158,6081,,3191,2414,2192,,3485,,,0,,,,,
2013-08-08,5206,5156,3324,6075,,3143,1885,2131,,3612,,,0,,,,,
2013-08-09,4698,4187,2626,5333,,2551,1339,1742,,3143,,,0,,,,,
2013-08-10,4692,4014,2096,3950,,1623,2803,1268,,2800,,,0,,,,,
2013-08-11,5042,4002,1855,3617,,1755,3689,1358,,2556,,,0,,,,,
2013-08-12,5941,5371,3289,6043,,3160,2560,2395,,3519,,,0,,,,,
2013-08-13,4011,3803,2469,4829,,2348,996,1683,,2765,,,0,,,,,
2013-08-14,4546,3411,2304,4459,,2242,1043,1714,,2874,,,0,,,,,
2013-08-15,6040,5641,3604,6322,,3162,2343,2461,,3649,,,0,,,,,
2013-08-16,5558,4767,3166,5725,,2731,1777,1978,,3381,,,0,,,,,
2013-08-17,5281,4654,2582,4049,,1873,3303,1375,,2776,,,0,,,,,
2013-08-18,5345,4695,2475,3842,,1769,3487,1388,,2913,,,0,,,,,
2013-08-19,5947,5375,3386,6159,,3166,2364,2506,,3579,,,0,,,,,
2013-08-20,6015,6127,3745,6806,,3337,2573,2771,,4248,,,0,,,,,
2013-08-21,6074,6075,3768,6877,,3485,2356,2676,,4293,,,0,,,,,
2013-08-22,3029,2699,1788,3511,,1801,586,1339,,2008,,,0,,,,,
2013-08-23,5793,5162,3410,6406,,3068,2116,2335,,3653,,,0,,,,,
2013-08-24,5172,4219,2170,4177,,1796,3058,1473,,2778,,,0,,,,,
2013-08-25,5119,3918,2030,3752,,1843,3381,1442,,2742,,,0,,,,,
2013-08-26,4506,3797,2722,4892,,2555,1021,2120,,2875,,,0,,,,,
2013-08-27,5888,5566,3662,6355,,3373,2153,2805,,3738,,,0,,,,,
2013-08-28,5673,5560,3717,6323,,3355,1881,2759,,3886,,,0,,,,,
2013-08-29,6044,5806,3902,6713,,3466,1941,2766,,3995,,,0,,,,,
2013-08-30,5109,4381,3019,5409,,2724,1632,2209,,3106,,,0,,,,,
2013-08-31,3593,2682,1701,3178,,1385,1494,1018,,2303,,,0,,,,,
2013-09-01,5136,4091,1997,3991,,1913,3896,1389,,2858,,,0,,,,,
2013-09-02,2359,1513,973,2073,,929,824,802,,1533,,,0,,,,,
2013-09-03,5298,5710,3753,7127,,3683,1357,3174,,3524,,,0,,,,,
2013-09-04,5561,5460,3865,7005,,3884,1512,3258,,2913,,,0,,,,,
2013-09-05,5823,6321,4234,7109,,3983,1762,3292,,2363,,,0,,,,,
2013-09-06,5780,5555,3708,6797,,3593,2022,2848,,3534,,,0,,,,,
2013-09-07,3215,2324,1536,2899,,1335,1255,1137,,2170,,,0,,,,,
2013-09-08,3971,2997,1677,3183,,1808,1768,1423,,2224,,,0,,,,,
2013-09-09,5494,5558,3748,6783,,4043,1564,3202,,3466,,,0,,,,,
2013-09-10,3264,3278,2279,4107,,2439,385,1697,,2464,,,0,,,,,
2013-09-11,5355,5412,3552,6449,,3629,1470,2997,,3790,,,0,,,,,
2013-09-12,3111,2877,2088,3917,,2255,428,1646,,2433,,,0,,,,,
2013-09-13,4085,3869,2886,5168,,3096,953,2253,,3065,,,0,,,,,
2013-09-14,3277,2488,1706,2911,,979,1075,1494,,2456,,,0,,,,,
2013-09-15,3623,2243,1417,2933,,1804,1459,1749,,2527,,,0,,,,,
2013-09-16,4307,4206,2799,5485,,3272,855,2466,,3012,,,0,,,,,
2013-09-17,5332,5506,3563,6626,,3882,1485,3153,,3745,,,0,,,,,
2013-09-18,5571,5676,3677,6712,,4074,1759,3330,,3921,,,0,,,,,
2013-09-19,6082,5989,3937,7121,,3938,1786,3264,,3999,,,0,,,,,
2013-09-20,6284,6027,4030,7010,,3908,2318,2971,,4199,,,0,,,,,
2013-09-21,3060,2126,1470,2726,,1258,692,1009,,2224,,,0,,,,,
2013-09-22,2453,1265,909,1829,,964,443,689,,1705,,,0,,,,,
2013-09-23,4532,4704,2974,5749,,3416,1008,2673,,3274,,,0,,,,,
2013-09-24,4834,5347,3490,6470,,3773,1389,2905,,3656,,,0,,,,,
2013-09-25,5321,5264,3429,6554,,4008,1417,3065,,3839,,,0,,,,,
2013-09-26,4726,5241,3524,6634,,3747,1292,2800,,3721,,,0,,,,,
2013-09-27,5309,5120,3487,6035,,3398,1380,2593,,3821,,,0,,,,,
2013-09-28,4792,3734,2226,3819,,1791,2308,1473,,3318,,,0,,,,,
2013-09-29,5090,3396,1776,3416,,1842,2435,1521,,3014,,,0,,,,,
2013-09-30,5361,5365,3478,6543,,3771,1656,2778,,3927,,,0,,,,,
2013-10-01,5393,5780,3939,7051,,4051,1520,3228,,3978,,,0,,,,,
2013-10-02,5328,5574,3736,6937,,4011,1438,3128,,3952,,,0,,,,,
2013-10-03,5155,5538,3815,7009,,3962,1579,3228,,4135,,,0,,,,,
2013-10-04,4703,4292,3154,5725,,3237,937,2275,,3518,,,0,,,,,
2013-10-05,3930,2727,1764,3420,,1652,1246,1287,,2834,,,0,,,,,
2013-10-06,2227,1291,818,1593,,968,368,680,,1646,,,0,,,,,
2013-10-07,2748,2808,1902,3610,,2288,388,1570,,2287,,,0,,,,,
2013-10-08,4479,4645,3199,5791,,3430,898,2624,,3444,,,0,,,,,
2013-10-09,4998,5107,3439,6152,,3847,1211,2887,,3758,,,0,,,,,
2013-10-10,5068,5239,3557,6150,,3703,1201,2822,,3833,,,0,,,,,
2013-10-11,4791,4642,3242,5535,,3177,1295,2370,,3631,,,0,,,,,
2013-10-12,3726,2898,1668,3061,,1487,1830,1187,,2659,,,0,,,,,
2013-10-13,3362,2622,1421,2574,,1413,1816,1059,,2240,,,0,,,,,
2013-10-14,1679,1091,834,1237,,777,242,532,,1305,,,0,,,,,
2013-10-15,4160,4544,3206,5590,,3311,864,2408,,3107,,,0,,,,,
2013-10-16,3719,3713,2579,4879,,3061,597,2108,,2974,,,0,,,,,
2013-10-17,4298,4490,3224,5955,,3321,775,2389,,3355,,,0,,,,,
2013-10-18,3496,3188,2382,4310,,2608,433,1395,,2751,,,0,,,,,
2013-10-19,2770,1982,1473,2580,,1345,595,845,,2274,234,,0,,,,,
2013-10-20,2201,1541,1044,2161,,1210,380,807,,1858,360,1082,0,,,,,
2013-10-21,3400,3402,2261,4643,,2906,659,1657,,2721,1026,2116,0,,,,,
2013-10-22,2949,2881,1919,3911,1593,2386,554,1308,,2493,798,1925,0,,,,,
2013-10-23,3664,3670,2440,4773,3527,3014,621,1752,,2772,979,2345,0,,,,,
2013-10-24,3133,3258,2139,4371,3093,2600,541,1468,,2566,889,1991,0,,,,,
2013-10-25,3072,2849,1875,3758,2847,2377,435,1323,,2501,797,1918,0,,,,,
2013-10-26,1062,683,451,941,760,551,62,307,,1003,147,665,25,,,,,
2013-10-27,1490,1056,646,1390,1175,767,248,464,,1250,227,958,93,,,,,
2013-10-28,2407,2216,1440,2987,2143,1918,252,1306,,1994,512,1441,281,,,,,
2013-10-29,2956,3120,1974,3739,2817,2453,417,1525,,2284,750,1605,364,,,,,
2013-10-30,3073,3222,2041,3839,2936,2416,421,1660,,2441,833,1851,357,,,,,
2013-10-31,1859,1941,1204,2131,1668,1587,188,1045,,1707,505,1108,203,,,,,
2013-11-01,1824,1658,1147,2125,1457,1430,163,808,,1194,336,1226,198,,,,,
2013-11-02,1234,815,564,1141,916,639,111,377,,1141,154,886,74,0,849,0,,0
2013-11-03,1682,1094,633,1351,1240,829,312,518,,1390,239,1134,99,229,640,0,101,16
2013-11-04,2442,2492,1638,3109,2386,2166,290,1402,,2029,620,1500,274,906,803,0,674,0
2013-11-05,2785,2857,1802,3574,2669,2240,391,1478,,2210,682,1579,328,1003,891,0,732,0
2013-11-06,2805,2900,1815,1875,2619,2271,429,1543,,2248,774,1871,327,1089,1079,0,778,0
2013-11-07,2385,2429,1521,2902,2110,1925,193,1301,,1953,486,1422,249,769,1005,0,602,0
2013-11-08,2396,2248,1523,2755,2064,1777,218,1197,,2148,490,1513,264,798,1101,0,578,0
2013-11-09,1612,1060,780,1343,1129,690,213,458,,1153,209,1055,79,331,1092,0,264,0
2013-11-10,795,504,296,669,547,442,35,241,,761,111,459,34,139,778,0,124,0
2013-11-11,1660,1545,962,1909,1457,1438,128,907,,1407,356,881,149,542,737,0,440,0
2013-11-12,1794,1805,1211,2226,1646,1422,122,941,,1470,428,1003,219,649,972,0,454,0
2013-11-13,1759,1814,1147,2186,1642,1405,126,886,,1467,416,896,236,611,934,0,498,0
2013-11-14,2112,2210,1435,2565,1924,1637,247,1002,,1874,525,1216,259,754,940,0,559,0
2013-11-15,2505,2242,1474,2842,2189,1763,291,1101,,1982,620,1650,268,875,899,0,547,0
2013-11-16,2099,1367,820,1508,1583,784,593,634,,1550,416,1576,147,546,751,0,395,0
2013-11-17,1056,610,352,747,705,503,152,310,,966,176,672,53,201,581,0,189,0
2013-11-18,1558,1424,906,1795,847,1347,101,807,,1240,365,916,170,511,700,0,435,0
2013-11-19,1742,1717,1031,2074,0,1528,118,892,,1506,420,1074,223,636,923,0,474,0
2013-11-20,1868,1797,1092,2112,0,1580,163,994,,1535,483,1146,226,666,949,0,514,0
2013-11-21,1863,1816,1139,2073,0,1498,128,988,,1485,440,1176,243,650,1003,0,522,0
2013-11-22,1421,1132,718,1382,0,1058,57,597,,1152,311,814,156,468,966,0,264,0
2013-11-23,1020,650,425,792,0,503,72,296,,821,153,627,48,222,597,0,204,0
2013-11-24,529,324,202,459,0,284,12,148,,528,71,258,32,118,366,0,95,0
2013-11-25,1032,911,559,1309,0,858,72,432,,880,247,454,135,380,650,0,294,0
2013-11-26,1373,1249,791,1659,0,1126,109,672,,1136,353,680,174,503,809,0,407,0
2013-11-27,468,401,217,517,0,283,7,2,,425,81,254,53,167,687,0,91,0
2013-11-28,422,341,149,510,0,200,18,0,,172,40,199,85,80,856,23,95,0
2013-11-29,443,340,177,501,0,187,14,0,,274,30,185,15,91,436,0,115,195
2013-11-30,248,174,97,260,0,61,11,0,,243,22,159,,16,18,0,57,78
2013-12-01,296,145,77,230,0,76,7,0,,231,19,139,,32,22,0,35,101
2013-12-02,636,427,123,673,0,269,20,0,,452,56,275,0,148,50,0,150,461
2013-12-03,692,556,350,738,0,343,10,0,,487,92,300,0,240,55,0,127,510
2013-12-04,806,709,350,908,0,441,21,0,,602,91,422,0,256,66,0,190,589
2013-12-05,773,635,366,824,0,440,12,1,,713,98,364,0,257,63,0,187,608
2013-12-06,907,761,511,964,0,580,38,13,,966,136,507,0,293,78,8,223,710
2013-12-07,575,342,185,418,0,241,24,7,,513,74,352,0,107,32,18,98,268
2013-12-08,512,270,139,361,0,209,19,6,,471,56,264,0,111,13,6,73,239
2013-12-09,349,280,142,275,0,183,16,3,,354,45,159,0,112,26,3,99,151
2013-12-10,502,452,241,495,0,261,9,0,,196,49,220,0,126,48,5,106,342
2013-12-11,533,481,258,505,0,288,7,1,,303,33,222,0,122,56,5,120,341
2013-12-12,441,382,223,443,0,269,1,0,,344,24,175,0,101,52,1,98,339
2013-12-13,410,305,183,416,0,210,5,0,,379,34,175,0,77,43,0,82,260
2013-12-14,152,92,43,124,0,74,3,0,,496,11,75,0,27,9,0,24,64
2013-12-15,29,33,21,47,0,21,0,0,,303,2,35,0,14,0,0,15,4
2013-12-16,210,214,90,240,0,94,0,0,,790,0,94,0,60,31,0,48,37
2013-12-17,260,269,128,277,0,126,0,0,,294,7,108,0,65,21,0,66,138
2013-12-18,366,240,163,353,0,143,0,9,,341,26,191,0,113,34,0,85,175
2013-12-19,398,265,176,388,0,136,11,6,,411,43,115,0,118,32,24,74,199
2013-12-20,166,125,74,173,0,65,2,0,,432,16,83,0,79,12,4,23,76
2013-12-21,61,44,26,52,0,16,4,5,,113,1,26,0,3,3,0,16,16
2013-12-22,2,19,8,44,0,4,0,0,,59,0,2,0,8,2,3,1,3
2013-12-23,0,63,55,109,0,16,0,0,,261,0,3,0,51,12,0,19,0
2013-12-24,1,36,36,39,0,14,0,0,,190,0,1,0,19,9,2,8,18
2013-12-25,0,5,13,4,0,6,0,0,,42,0,1,0,2,0,0,2,1
2013-12-26,0,7,28,75,0,10,0,0,,54,0,27,0,10,4,0,1,7
2013-12-27,0,77,62,123,0,13,3,0,,134,0,43,0,40,12,5,25,32
2013-12-28,0,36,61,70,0,17,2,7,,156,0,47,0,20,11,15,18,16
2013-12-29,0,32,35,67,0,14,2,0,,94,0,43,0,17,5,2,13,23
2013-12-30,80,29,44,81,0,27,3,0,,91,0,50,0,30,16,7,25,30
2013-12-31,74,14,35,58,0,17,0,0,,147,20,35,0,22,9,14,12,24
